,Actual,Predicted
314,[3.2  3.2  0.17],[3.1663935  3.2164013  0.36522692]
315,[1.6  2.4  1.17],[1.576196  2.4030378 1.0117718]
316,[3.2  0.8  0.57],[3.1869462  0.79583776 0.5569647 ]
317,[2.4  3.2  1.37],[2.414265  3.2095227 1.3124075]
318,[3.2  0.8  1.57],[3.1972415 0.8149241 1.5066192]
319,[4.   0.8  0.77],[3.9929273  0.80289894 0.75014913]
320,[3.2  4.   1.97],[3.2281199 4.0392594 2.062077 ]
321,[4.   3.2  0.77],[4.0295167 3.2284732 0.986722 ]
322,[3.2  0.8  1.57],[3.1869683 0.7789068 1.6878535]
323,[0.8  4.   1.37],[0.774197  4.011184  1.2094332]
324,[0.8  3.2  0.77],[0.7889223  3.1915128  0.73684084]
325,[2.4  4.   0.17],[2.406333  4.0383663 0.3285879]
326,[1.6  4.   1.37],[1.6136668 4.0055842 1.4168047]
327,[2.4  4.   0.37],[2.4222693  4.018229   0.46120265]
328,[1.6  2.4  1.17],[1.5687902 2.3936615 1.1671896]
329,[2.4  0.8  1.97],[2.4162595 0.7933258 1.8024528]
330,[4.   2.4  0.57],[4.0145698 2.4094071 0.6639348]
331,[1.6  2.4  1.57],[1.5636685 2.398283  1.7493389]
332,[0.8  0.8  0.77],[0.7897067  0.8224756  0.91543907]
333,[2.4  1.6  1.57],[2.4245317 1.6025534 1.5192118]
334,[1.6  2.4  0.17],[1.5335319  2.400403   0.47231263]
335,[2.4  4.   0.37],[2.414103   4.0245857  0.45441186]
336,[2.4  2.4  2.17],[2.4365683 2.3932123 1.9415712]
337,[3.2  2.4  1.37],[3.2091897 2.4407115 1.3717437]
338,[2.4  1.6  1.17],[2.4101565 1.5702491 0.8641822]
339,[2.4  3.2  2.17],[2.3520923 2.8887455 1.79202  ]
340,[1.6  3.2  1.17],[1.5747733 3.2174306 1.2520368]
341,[1.6  2.4  0.77],[1.546021   2.435227   0.71309435]
342,[1.6  2.4  1.37],[1.5787191 2.413961  1.3974745]
343,[0.8  3.2  0.17],[0.7642958  3.2100108  0.23568621]
344,[0.8  4.   0.37],[0.7939323  4.0102386  0.29181606]
345,[0.8  3.2  0.17],[0.7604841  3.2100499  0.23102601]
346,[3.2  1.6  0.57],[3.1994014 1.5621486 0.6070354]
347,[3.2  3.2  1.97],[3.2134736 3.2598495 2.2749348]
